system:index,POP_DENS,system_ind,.geo
00002b703811dfef6f25,8.0,7595,
0000a57053e645a39285,8.0,7594,
00002c3e6a795171051e,6.0,7593,
00001aa3cb345f26e206,193.0,7760,
000006c58bdb93d48dcd,193.0,7583,
000070bc9763a6202ce9,509.0,7759,
000038431536a67a8630,215.0,7582,
0000e42b0353f5988e98,204.0,7758,
000049a564138977ce82,508.0,7581,
00008328417c17d037e7,55.0,7757,
00001fa64a0974a731d4,100.0,7580,
0000868f3a1a219c1f68,559.0,7934,
000017283fa8bf08c109,89.0,8111,
000085e8c8130bf8f9cf,124.0,8289,
000004a5f707b585a378,120.0,8466,
0000fcac79664295c493,43.0,8467,
00001fab9679e4adb53f,301.0,8643,
00008808af722bdf8056,189.0,8644,
0000cf257f3c6c6d6a82,51.0,8645,
000076d691d11f4a2bc6,334.0,8822,
0000738cceb0e31a641a,29.0,9000,
000059f88732d1432629,135.0,8999,
000002a288d7a4e3f633,296.0,8998,
0000ebc76fbe539be264,210.0,8821,
0000aa82430d630a842b,301.0,8820,
0000d7d69a17bcf8efc2,327.0,8997,
0000a806cb5511b66688,1258.0,9174,
0000c6f22e1cbe06d2fa,120.0,9175,
00006f17a31c2b77dc90,84.0,9176,
0000ac60fd399660073f,168.0,9352,
00007a07484d11a04be4,27.5,9353,
00000226082fddf92430,556.0,9351,
000071f677944c8bea05,321.0,9528,
00000b639e9d90f25417,168.0,9529,
0000bf7fc20a636e08fd,120.0,9705,
0000cc1b37fdb0bf7931,68.0,9706,
00005907b5032a75c978,109.0,9882,
0000db036c174c1febfe,168.0,9883,
000021a5ab5e1011468c,53.5,9707,
00005651079ed91a6c48,150.0,9530,
0000b754c48f19a99f0b,53.0,9884,
0000ba43a4ff962fcd33,97.0,9531,
0000476598cac633950b,18.0,9354,
0000e569dc019dc69a81,628.0,9708,
00009381c6aa06ee0fea,157.0,9178,
000013a7ca757f2e6ea1,45.0,9177,
0000c4d3f637bae1d032,192.0,10059,
00001731effd72b16683,317.0,10588,
0000593f4fe2382c2623,120.0,10587,
0000bd21320105845cca,88.0,10764,
0000b83d2d4d912179be,665.0,10941,
00006128e5a6e1848855,94.0,11294,
0000e35d3c764389fa67,391.0,11117,
00007d92284edd20619a,267.0,11116,
000034a63b86af126d10,20.0,11293,
0000c4ac5316631f8cf7,328.0,10940,
0000ae0f06654aa2dcbb,168.0,10939,
0000a614b5c2ba389db7,187.0,10763,
0000dbd470ef1205f918,120.0,10586,
00007fe659815f9fe5f5,295.0,10585,
00005ff6ebc2ee9b3a56,147.0,10762,
0000e4e2600b2dc16f57,210.0,10761,
00001f400b2532374c7d,240.0,10938,
00000aaefb801ddfa711,120.0,10584,
000068e86469e2413635,120.0,10583,
00005b4f1b0b47b6b300,120.0,10760,
00000c1c0d8fd2b22d2c,271.0,10937,
0000d29a4ed3bc786710,180.0,11114,
0000a15610c2bd6836ce,79.0,11115,
0000b7fd214578980827,38.0,11292,
00000f34502da797d8e0,16.0,11470,
0000234569e0bb9726a4,40.0,11471,
00002f25f7dea59785cc,385.0,11996,
00009befae574ae8622d,266.0,11818,
000081e108d8809c9cfc,206.0,11995,
0000d97eeae43b5bf0d1,181.0,11642,
000088f343ed72a638ea,233.0,11641,
00007881766a0863dcb0,310.0,11466,
00000f3b303c3639e542,692.0,11465,
0000b20dc7ccc59ca131,308.0,11464,
00000c9b3430dcfd2c11,1191.0,11288,
000001d3fe01eb6db5a6,427.0,11287,
0000fc0803aa9e91d130,235.0,11289,
0000e22c87b15b24ad04,251.0,11290,
00005fc96b4c7f508f85,170.0,11113,
000021c05e412aa0bf9a,154.0,11112,
0000a987cc67ccd5e8d7,122.0,10936,
000062cc5c4632d728c7,171.0,10935,
00007596f7059c283306,122.0,10759,
0000c82c59824877da8a,84.0,10582,
0000ba7a46f2c8cf7c5d,60.0,10581,
00005b4433c23d2d958b,154.0,10758,
00009b5d4ff888561b47,171.0,10757,
0000deeabee591251a13,154.0,10934,
00004cce260c361f371b,59.0,10580,
0000bd4fddabd8882c8f,154.0,10756,
00009d76a8d34e88c945,46.0,10579,
00002e0017bc24518d16,154.0,10933,
000000e076e22c377fd4,154.0,11110,
00009f09717f3c65de97,154.0,11111,
0000f11a5d1ada35759d,410.0,11286,
00007fa35b6fb9924346,154.0,11109,
00000d125f585cc28ae1,335.0,11108,
0000383fbdf0b4a303d1,263.0,11285,
0000a71c222bbb4f294b,154.0,10932,
0000090f38f34a9054ba,303.0,10931,
000023e55ee041adb036,154.0,10755,
0000b4ef515bb02be138,124.0,10578,
0000b5a967c01b978564,269.0,10577,
0000270eef7a7034185b,154.0,10754,
000003fb50c0df230986,269.0,10576,
00002183462d0855a7d4,154.0,10930,
0000f2ee7dd3b7f0dd43,152.0,10753,
0000eee8e0a6dd5531ac,495.0,10575,
0000777c1cf3f631ef39,153.0,10752,
00003e223902b78a6ae1,192.0,10574,
0000ee81c2a186a85547,171.0,10929,
0000eb902f178214f308,316.0,11106,
000027f6fb20ad8e54f3,323.0,11107,
0000ce940bce84456d8c,343.0,11284,
0000d1df347da7a4de9e,308.0,11283,
00006b2b9814fc42084f,209.0,11461,
0000b03e373a3a2b3cbf,332.0,11460,
00002a000109892901b0,366.0,11637,
00001555dfd025da2f73,308.0,11638,
000045e44875d925bdc9,308.0,11462,
00003b6185ba230f4b20,154.0,11639,
000002117677265a25d7,308.0,11463,
00008c3d2d4c1174cb80,154.0,11640,
00002fc6ebceaeb177f9,332.0,11816,
0000f5d9a0dc419c0f00,236.0,11817,
0000e621e09bf9833547,159.0,11994,
000004231e41dcc3cb2d,254.0,11993,
00008d5d0f4398e9d37b,284.0,11815,
0000f06b6c81b455c548,148.0,11992,
000070781d2317ea933f,159.0,11814,
0000a999520862be3a7c,137.0,11991,
000060b1044841c13bc6,148.0,12168,
0000fdb5215e41ed837d,299.0,12169,
0000f624e04ab5707a12,172.0,12170,
0000ac35aa123150057b,148.0,12347,
000099cfb4b40c92f672,133.0,12346,
00004455cbaaf3426d71,259.0,12345,
0000f57638d662d222f9,133.0,12523,
00006f7e360498447b1e,332.0,12522,
0000f647906d29758bbf,133.0,12699,
0000d1c95824e12c2632,58.0,12700,
00001d975b152fe2582f,115.0,12524,
000015ba3c10d21ba4f5,158.0,12348,
0000d7d4ffc2b86e4b4f,310.0,12349,
0000d0faee46c441a372,239.0,12172,
00005b39ede413906eaa,310.0,12171,
0000dd6d601725c031c8,172.0,12877,
00008e27b36c393b2398,373.0,13230,
0000280c2e57d7c58f49,148.0,13053,
000050544d25053ba461,332.0,13052,
00003e3a18e83ba8adf3,258.0,13229,
0000ab092e19611d4d39,148.0,13406,
00000daf2e010c0cc3df,148.0,13228,
0000480e1287dd2cbeed,148.0,13405,
0000623f2a85fbbb5001,148.0,13404,
0000e60a623182e62e66,148.0,13227,
